GeneId,GeneSym,mRNA concentrationa in AU/µg DCW at µ=0.10 h-1,mRNA concentrationa in AU/µg DCW at µ=0.20 h-1,mRNA concentrationa in AU/µg DCW at µ=0.40 h-1,mRNA concentrationa in AU/µg DCW at µ=0.63 h-1,mRNA half-lifea in min at µ=0.10 h-1,mRNA half-lifea in min at µ=0.20 h-1,mRNA half-lifea in min at µ=0.40 h-1,mRNA half-lifea in min at µ=0.63 h-1,Gene in Operonb?,Number of genes in operonb,Position in operonb,Gene is essentialc? ,COGd,Cell location of gene productd,length of ORFe in bp,%GC of ORF,length of 5'UTRf in bp,%GC of 5'UTR,length of ORF+5'UTR in bp,%GC of ORF+5'UTR,CAI of ORF,Protein with signal peptided?
b0019,nhaA,1206.21,981.3,1453.22,1717.69,3.89,3.54,2.76,2.9,Yes,2,1,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1167,0.51,265,0.38,1432,0.49,0.35,No
b0020,nhaR,207.56,213.38,406.8,713.86,9.57,7.2,5.55,4.18,Yes,2,2,No,[K] Transcription,Cytoplasmic,906,0.47,690,0.53,1596,0.5,0.36,No
b0021,insB_1,815.48,1767.97,2422.66,2487.98,4.67,2.96,2.56,2.47,Yes,3,NA,No,"[L] Replication, recombination and repair",Unknown,504,0.55,NA,NA,NA,NA,0.29,No
b0022,insA_1,6726.02,6511.97,7205.33,7716.16,2.21,2,1.92,1.65,Yes,3,NA,No,"[L] Replication, recombination and repair",Unknown,276,0.53,NA,NA,NA,NA,0.36,No
b0023,rpsT,837.64,1111.76,2652.37,5251.65,4.5,3.37,2.22,1.89,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,264,0.47,40,0.4,304,0.46,0.73,No
b0024,yaaY,140.65,142.79,236.67,227.7,14.08,13.88,10.18,12.76,NA,NA,NA,No,NA,Membrane Anchored,219,0.49,174,0.44,393,0.47,0.24,No
b0025,ribF,2010.45,2875.56,4297.1,6488.44,2.97,2.2,1.75,1.55,Yes,5,1,Yes,[H] Coenzyme transport and metabolism,Cytoplasmic,942,0.54,24,0.42,966,0.53,0.37,No
b0026,ileS,7350.79,12204.78,23300.31,20821.82,1.94,1.57,1.43,1.44,Yes,5,2,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,2817,0.56,22,0.45,2839,0.56,0.58,No
b0027,lspA,4271.7,7493.71,13898.32,15193.66,2.3,1.91,1.74,1.58,Yes,5,3,Yes,[M] Cell wall/membrane/envelope biogenesis,Integral Membrane Protein,495,0.54,193,0.58,688,0.55,0.41,No
b0028,fkpB,2832.75,4839.4,9331.31,8088.8,2.51,1.91,1.89,1.76,Yes,5,4,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,450,0.54,NA,NA,NA,NA,0.49,No
b0029,ispH,1281.68,2237.5,4913.06,4328.16,3.25,2.44,2.27,2.28,Yes,5,5,Yes,[I] Lipid transport and metabolism,Cytoplasmic,951,0.55,NA,NA,NA,NA,0.49,No
b0030,rihC,720.19,797.05,883.36,265.91,5.7,6.34,6.69,13.07,No,1,NA,No,[F] Nucleotide transport and metabolism,Cytoplasmic,915,0.56,568,0.53,1483,0.55,0.37,No
b0031,dapB,680.92,1422.23,2089.99,6712.34,4.61,2.82,2.39,2.05,No,1,NA,Yes,[E] Amino acid transport and metabolism,Cytoplasmic,822,0.53,31,0.32,853,0.53,0.4,No
b0033,carB,4555.29,6249.94,17480.71,24736.25,2.27,1.93,1.76,3.39,Yes,2,2,No,[E] Amino acid transport and metabolism,Periplasmic,3222,0.56,652,0.55,3874,0.56,0.6,No
b0034,caiF,229.92,306.05,706.81,1180.11,9.31,6.18,4.87,5.3,No,1,NA,No,NA,Cytoplasmic,396,0.46,106,0.35,502,0.44,0.31,No
b0037,caiC,111.39,246.51,419.52,516.88,15.13,6.83,6.07,5.25,Yes,6,4,No,NA,Cytoplasmic,1554,0.51,485,0.52,2039,0.51,0.39,No
b0038,caiB,173.45,196.45,418.31,489.97,10.73,7.83,6.65,6.8,Yes,6,3,No,[C] Energy production and conversion,Cytoplasmic,1218,0.53,NA,NA,NA,NA,0.49,No
b0039,caiA,111.4,246.85,330.87,304.27,15.03,8.24,6.73,10.5,Yes,6,2,No,[I] Lipid transport and metabolism,Cytoplasmic,1143,0.54,NA,NA,NA,NA,0.51,No
b0042,fixB,61.51,81.81,111.54,90.51,27.51,21.25,19.4,30.79,Yes,4,2,No,[C] Energy production and conversion,Cytoplasmic,942,0.57,NA,NA,NA,NA,0.51,No
b0043,fixC,132.9,385.07,945.12,660.79,14.52,7.34,5.15,5.44,Yes,4,3,No,[C] Energy production and conversion,Cytoplasmic,1287,0.55,314,0.55,1601,0.55,0.42,No
b0044,fixX,113.99,265.13,506.31,436.83,15.04,9.98,8.34,7.43,Yes,4,4,No,[C] Energy production and conversion,Cytoplasmic,288,0.57,NA,NA,NA,NA,0.46,No
b0045,yaaU,60.44,113.46,249,202.79,23.93,14.81,12.74,11.27,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1332,0.53,NA,NA,NA,NA,0.32,No
b0046,kefF,281.67,365.36,455.48,469.31,7.96,6.05,5.25,5.95,Yes,2,1,No,[R] General function prediction only,Cytoplasmic,531,0.55,NA,NA,NA,NA,0.39,No
b0047,kefC,796.47,1158.28,1298.03,1432.37,4.09,2.91,2.89,2.79,Yes,2,2,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1863,0.56,NA,NA,NA,NA,0.36,No
b0048,folA,439.52,664.49,910.8,976.29,6.58,4.42,3.76,3.62,No,1,NA,Yes,[H] Coenzyme transport and metabolism,Cytoplasmic,480,0.53,NA,NA,NA,NA,0.43,No
b0049,apaH,1233.25,1600.84,2437.73,2955.92,3.61,2.96,2.55,2.08,Yes,6,6,No,[T] Signal transduction mechanisms,Cytoplasmic,843,0.56,103,0.47,946,0.55,0.43,No
b0050,apaG,2382.15,2259.69,4137.96,4502.6,2.97,2.56,2.18,1.71,Yes,6,5,No,[P] Inorganic ion transport and metabolism,Cytoplasmic,378,0.52,428,0.53,806,0.52,0.36,No
b0051,rsmA,3563.95,4518.83,9386.6,12398.98,2.51,1.99,1.58,1.26,Yes,6,4,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,822,0.53,157,0.55,979,0.53,0.42,No
b0052,pdxA,1550.28,2482.95,4119.31,6520.2,3.15,2.35,1.92,1.43,Yes,6,3,No,[H] Coenzyme transport and metabolism,Cytoplasmic,990,0.56,NA,NA,NA,NA,0.34,No
b0053,surA,4777.65,6006.87,9682.23,10303.4,2.46,1.84,1.58,1.27,Yes,6,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Periplasmic,1287,0.54,508,0.48,1795,0.52,0.55,No
b0054,lptD,3947.32,4819.61,6433.24,10530.13,2.32,1.74,1.52,1.24,Yes,6,1,Yes,[M] Cell wall/membrane/envelope biogenesis,Periplasmic,2355,0.51,47,0.43,2402,0.51,0.49,Yes
b0055,djlA,524.84,925.34,1366.52,2105.85,5.49,3.76,2.78,2.36,No,1,NA,No,"[O] Posttranslational modification, protein turnover, chaperones",Membrane Anchored,816,0.53,615,0.51,1431,0.52,0.42,No
b0058,rluA,621.67,648.92,1083.21,1160.71,5.05,4.17,3.82,3.79,Yes,2,2,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,660,0.54,NA,NA,NA,NA,0.37,No
b0059,rapA,830.08,1349.9,2811.29,3221.54,4.27,2.78,2.18,2.39,Yes,2,1,No,[K] Transcription,Cytoplasmic,2907,0.55,324,0.49,3231,0.54,0.57,No
b0060,polB,257.98,341.11,475.26,434.88,8.15,5.83,5,5.49,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,2352,0.55,166,0.46,2518,0.55,0.4,No
b0062,araA,1612.28,938.16,957.22,392.25,3.24,3.9,5.44,8.22,Yes,3,2,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1503,0.55,NA,NA,NA,NA,0.53,No
b0064,araC,3577.48,2332.62,2868.21,2033.85,2.4,2.42,2.76,2.44,No,1,NA,No,[K] Transcription,Cytoplasmic,879,0.53,166,0.45,1045,0.51,0.32,No
b0065,yabI,779.59,496.89,780.51,841.46,4.86,5.33,4.42,4.05,No,1,NA,No,[S] Function unknown,Integral Membrane Protein,765,0.54,59,0.49,824,0.54,0.36,No
b0066,thiQ,253.4,392.12,467.41,504.82,9.31,6.6,6.18,6.27,Yes,5,NA,No,[H] Coenzyme transport and metabolism,Cytoplasmic,699,0.57,NA,NA,NA,NA,0.31,No
b0067,thiP,148.97,211.67,345.46,518.01,11.15,8.17,6.05,4.61,Yes,5,NA,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1611,0.58,569,0.54,2180,0.57,0.35,No
b0068,thiB,862.96,847.56,1483.02,2464.74,4.52,4.29,3.06,2.54,Yes,5,NA,No,[H] Coenzyme transport and metabolism,Periplasmic,984,0.53,58,0.48,1042,0.53,0.43,No
b0069,sgrR,421.6,731.48,1266.91,1422.67,6.17,3.86,2.82,3.13,Yes,5,NA,No,[R] General function prediction only,Cytoplasmic,1656,0.55,566,0.48,2222,0.53,0.37,No
b0070,setA,1163.49,1530.51,1851.35,2494.42,3.81,2.94,2.54,2.41,Yes,3,NA,No,NA,Integral Membrane Protein,1179,0.49,54,0.43,1233,0.48,0.28,No
b0072,leuC,28654.65,32801.88,55090.79,61274.12,1.61,2.19,3.29,3.42,Yes,5,4,No,[E] Amino acid transport and metabolism,Cytoplasmic,1401,0.56,478,0.55,1879,0.56,0.53,No
b0073,leuB,31322.32,35196.19,57771.39,66593.3,1.58,1.78,2.06,2.89,Yes,5,3,No,NA,Cytoplasmic,1092,0.55,NA,NA,NA,NA,0.48,No
b0074,leuA,26316.2,31741.56,39936.62,51694.85,1.59,1.29,1.06,1.14,Yes,5,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,1572,0.53,170,0.51,1742,0.53,0.49,No
b0077,ilvI,6703.35,10679.45,20138.01,26821.12,1.94,1.43,1.28,1.04,Yes,2,1,No,NA,Cytoplasmic,1725,0.53,31,0.48,1756,0.53,0.35,No
b0078,ilvH,1872.74,2975.45,5343.67,8785.68,2.88,2.11,1.72,1.38,Yes,2,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,492,0.5,237,0.53,729,0.51,0.31,No
b0080,fruR,3093.32,3878.66,4390.22,4603.01,2.54,1.94,1.75,1.73,No,1,NA,No,[K] Transcription,Cytoplasmic,1005,0.55,365,0.44,1370,0.52,0.4,No
b0081,mraZ,1759.2,2554.26,4722.85,6942.66,3.17,2.3,1.72,1.56,Yes,16,1,No,[S] Function unknown,Cytoplasmic,459,0.52,45,0.56,504,0.52,0.3,No
b0082,rsmH,1162.51,1943.42,2991.09,4045.03,3.65,2.45,2.04,1.81,Yes,16,2,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,942,0.55,393,0.52,1335,0.54,0.41,No
b0083,ftsL,3499.93,4283.92,4786.75,7054.59,2.49,1.96,1.99,1.47,Yes,16,3,Yes,"[D] Cell cycle control, cell division, chromosome partitioning",Membrane Anchored,366,0.5,NA,NA,NA,NA,0.32,No
b0084,ftsI,303.56,385.44,649.95,765.29,6.52,4.94,4.56,3.8,Yes,16,4,Yes,[M] Cell wall/membrane/envelope biogenesis,Membrane Anchored,1767,0.54,NA,NA,NA,NA,0.43,No
b0085,murE,1323.76,2222.44,4463.44,6383.83,3.26,2.51,2.32,1.62,Yes,16,5,Yes,[M] Cell wall/membrane/envelope biogenesis,Unknown,1488,0.57,681,0.54,2169,0.56,0.44,No
b0086,murF,840.43,1952.74,3219.83,3425.73,3.85,2.84,2.75,2.12,Yes,16,6,Yes,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,1359,0.55,NA,NA,NA,NA,0.45,No
b0087,mraY,839.01,1365.45,2930.45,4046.27,4.07,3.55,2.96,2.23,Yes,16,7,Yes,[M] Cell wall/membrane/envelope biogenesis,Integral Membrane Protein,1083,0.53,NA,NA,NA,NA,0.43,No
b0096,lpxC,9989.7,13262.37,17300.3,18857.98,5.68,8.24,8.44,9.45,Yes,16,16,Yes,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,918,0.51,51,0.41,969,0.51,0.51,No
b0097,secM,1039.75,1597.63,2366.11,2470.33,4.94,3.83,3.28,4.71,Yes,3,1,Yes,NA,Unknown,513,0.54,37,0.38,550,0.53,0.33,Yes
b0098,secA,3459.98,5170.23,6722.41,8534.06,2.71,2.25,2.1,2.18,Yes,3,2,Yes,"[U] Intracellular trafficking, secretion, and vesicular transport",Cytoplasmic,2706,0.52,431,0.51,3137,0.52,0.59,No
b0099,mutT,115.9,147.89,263.15,521.94,12.85,8.39,8.26,5.98,Yes,3,3,No,"[L] Replication, recombination and repair",Cytoplasmic,390,0.49,682,0.51,1072,0.51,0.35,No
b0101,yacG,794.22,1068.98,1703.69,2132.41,4.2,2.96,2.58,2.37,Yes,3,3,No,[S] Function unknown,Cytoplasmic,198,0.52,319,0.53,517,0.52,0.39,No
b0102,yacF,939.85,1549.65,2608.84,3127.71,3.94,2.53,2.13,1.91,Yes,3,2,No,[S] Function unknown,Cytoplasmic,744,0.51,600,0.53,1344,0.52,0.39,No
b0103,coaE,501.96,748.86,954.47,1883.97,5.85,3.69,3.36,2.53,Yes,3,1,No,[H] Coenzyme transport and metabolism,Periplasmic,621,0.53,NA,NA,NA,NA,0.34,No
b0104,guaC,1740.05,3346.73,6547.07,8105.31,3.73,3.34,2.39,5.64,No,1,NA,No,[F] Nucleotide transport and metabolism,Cytoplasmic,1044,0.51,50,0.52,1094,0.51,0.52,No
b0106,hofC,95.07,149.43,212.27,176.25,16.34,9.8,9.1,10.2,Yes,3,3,No,[N] Cell motility,Integral Membrane Protein,1203,0.52,NA,NA,NA,NA,0.28,No
b0107,hofB,93.76,120.88,137.94,146.63,18.59,12.18,12.4,13,Yes,3,2,No,[N] Cell motility,Cytoplasmic,1386,0.53,NA,NA,NA,NA,0.31,No
b0109,nadC,1366.12,2153.77,3587.34,4186.24,3.6,2.38,1.86,1.81,No,1,NA,No,[H] Coenzyme transport and metabolism,Cytoplasmic,894,0.53,34,0.35,928,0.52,0.37,No
b0110,ampD,1521.19,1665.82,2411.56,2945.57,3.32,2.66,2.26,2.13,Yes,2,1,No,[V] Defense mechanisms,Cytoplasmic,552,0.54,NA,NA,NA,NA,0.38,No
b0111,ampE,2266.17,2105.22,3560.86,3579.35,2.9,2.75,2.43,2.06,Yes,2,2,No,[V] Defense mechanisms,Integral Membrane Protein,855,0.52,NA,NA,NA,NA,0.32,No
b0112,aroP,11239.78,17484.08,28864.34,33369.16,1.78,1.41,1.17,1.7,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1374,0.53,125,0.37,1499,0.51,0.48,No
b0114,aceE,13935.74,19769.09,36329.51,43062.61,3.01,3.42,4.11,3.67,Yes,4,2,No,[C] Energy production and conversion,Cytoplasmic,2664,0.53,405,0.48,3069,0.52,0.72,No
b0115,aceF,8824.33,12247.66,24056.74,26540.88,3.37,4.29,4.78,4.21,Yes,4,3,No,[C] Energy production and conversion,Unknown,1893,0.55,440,0.53,2333,0.54,0.66,No
b0116,lpd,27225.87,39428.14,60727.91,64714.64,4.41,5.55,5.64,7.4,Yes,4,4,No,[C] Energy production and conversion,Cytoplasmic,1425,0.53,418,0.48,1843,0.52,0.7,No
b0117,yacH,131.24,163.13,199.73,159.47,14.24,10.25,9.29,12.19,No,1,NA,No,NA,Periplasmic,1854,0.54,NA,NA,NA,NA,0.34,Yes
b0118,acnB,38245.34,47971.61,69590.23,59912.86,4.91,6.26,5.83,5.66,No,1,NA,No,[C] Energy production and conversion,Cytoplasmic,2598,0.56,96,0.54,2694,0.56,0.61,No
b0119,yacL,866.1,1049.56,1418.53,1440.46,4.62,3.97,3.78,3.54,No,1,NA,No,[S] Function unknown,Cytoplasmic,363,0.52,512,0.54,875,0.53,0.42,No
b0121,speE,4763.43,10217.39,15569.4,25693.89,3.14,3.93,2.87,6.71,Yes,3,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,867,0.51,40,0.45,907,0.5,0.48,No
b0123,cueO,1609.72,2287.5,4636.33,5949.07,3.22,2.73,2.35,2.94,No,1,NA,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Periplasmic,1551,0.55,81,0.44,1632,0.54,0.41,Yes
b0124,gcd,1156.46,1029.09,3285.42,6201.99,3.55,3.15,1.92,1.88,No,1,NA,No,[G] Carbohydrate transport and metabolism,Integral Membrane Protein,2391,0.55,38,0.26,2429,0.55,0.48,No
b0125,hpt,4337.84,6250.73,8330.61,13167.32,2.3,1.71,1.48,1.62,No,1,NA,No,NA,Cytoplasmic,537,0.51,77,0.45,614,0.5,0.56,No
b0126,can,4518.92,6109.77,7964.69,16928.03,2.22,1.74,1.46,1.44,No,1,NA,Yes,[P] Inorganic ion transport and metabolism,Cytoplasmic,663,0.51,33,0.39,696,0.5,0.45,No
b0127,yadG,2532,3578.55,5315.87,9303.2,2.72,2.12,1.99,2.49,Yes,2,1,No,[V] Defense mechanisms,Cytoplasmic,927,0.5,487,0.46,1414,0.48,0.38,No
b0128,yadH,1904.28,2243.35,4306.8,5716.63,3.05,2.44,2.17,2.43,Yes,2,2,No,[V] Defense mechanisms,Integral Membrane Protein,771,0.51,NA,NA,NA,NA,0.38,No
b0129,yadI,833.69,690.11,863.33,1022.52,4.04,3.67,3.75,3.39,No,1,NA,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,441,0.49,594,0.52,1035,0.51,0.33,No
b0132,yadD,65.15,86.61,110.23,119.32,20.21,14.75,17.06,17.11,No,1,NA,No,NA,Cytoplasmic,903,0.49,328,0.51,1231,0.49,0.3,No
b0133,panC,3729.59,6183.98,10559.59,9474.88,2.4,1.87,1.47,1.82,Yes,2,2,No,[H] Coenzyme transport and metabolism,Cytoplasmic,852,0.53,59,0.51,911,0.53,0.46,No
b0134,panB,6233.73,9561.67,15503.29,15401,2.09,1.63,1.28,1.3,Yes,2,1,No,[H] Coenzyme transport and metabolism,Cytoplasmic,795,0.55,101,0.45,896,0.53,0.5,No
b0143,pcnB,2985.38,6513.26,9614.75,10476.23,2.64,1.62,1.35,1.34,Yes,2,1,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1398,0.56,46,0.39,1444,0.55,0.51,No
b0144,yadB,319.49,628.72,946.97,1050.35,7.28,4.22,3.32,3.21,Yes,3,3,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,927,0.54,NA,NA,NA,NA,0.36,No
b0145,dksA,7176.33,9344.74,11438.86,11907.16,4.46,5.25,5.38,3.25,Yes,3,2,No,[T] Signal transduction mechanisms,Cytoplasmic,456,0.53,90,0.47,546,0.52,0.52,No
b0146,sfsA,1999.34,1351.8,1363.84,1770.64,3.61,3.85,5.61,2.86,Yes,3,1,No,[R] General function prediction only,Cytoplasmic,705,0.49,NA,NA,NA,NA,0.32,No
b0147,ligT,717.05,1385.33,1848.24,2506.5,4.98,3.76,2.57,2.77,No,1,NA,No,NA,Cytoplasmic,531,0.56,22,0.45,553,0.56,0.3,No
b0148,hrpB,364.84,551.3,940.58,846.62,6.41,4.34,3.59,3.85,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,2430,0.57,28,0.43,2458,0.56,0.33,No
b0149,mrcB,698.24,1109.73,1923.97,1482.72,4.44,3.08,2.54,2.79,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Membrane Anchored,2535,0.55,495,0.55,3030,0.55,0.46,No
b0150,fhuA,4582.17,6657.63,11233.99,12865.9,2.23,1.59,1.31,1.2,Yes,4,1,No,[P] Inorganic ion transport and metabolism,Outer Membrane B-barrel protein,2244,0.51,NA,NA,NA,NA,0.53,Yes
b0151,fhuC,908.66,1404.17,2995.08,3784.85,3.62,2.28,1.81,1.59,Yes,4,2,No,[H] Coenzyme transport and metabolism,Cytoplasmic,798,0.57,654,0.52,1452,0.55,0.4,No
b0152,fhuD,154.42,327.81,531.06,854.77,10.23,5.12,4.59,3.28,Yes,4,3,No,[P] Inorganic ion transport and metabolism,Periplasmic,891,0.55,NA,NA,NA,NA,0.35,Yes
b0153,fhuB,285.16,591.92,1191.04,1289.2,6.61,4.32,3.22,2.89,Yes,4,4,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1983,0.6,616,0.54,2599,0.58,0.33,No
b0154,hemL,2601.15,4453.79,7504.18,8440.45,2.71,2.06,1.69,3.23,No,1,NA,Yes,[H] Coenzyme transport and metabolism,Cytoplasmic,1281,0.56,108,0.4,1389,0.54,0.5,No
b0155,clcA,681.72,887.42,1460.5,1418.62,4.9,3.48,2.81,2.96,No,1,NA,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1422,0.54,95,0.38,1517,0.53,0.33,No
b0156,erpA,2488.64,3921.5,4799.08,4510.67,3.01,2.36,1.98,2.05,No,1,NA,Yes,[S] Function unknown,Cytoplasmic,345,0.51,52,0.37,397,0.49,0.69,No
b0157,yadS,552.08,647.84,919.34,1046.01,5.44,4.4,3.56,3.68,Yes,3,3,No,[S] Function unknown,Integral Membrane Protein,624,0.54,76,0.5,700,0.53,0.34,No
b0158,btuF,509.19,795.34,1717.33,1924.19,5.84,3.75,2.39,2.43,Yes,3,2,No,[P] Inorganic ion transport and metabolism,Periplasmic,801,0.53,469,0.54,1270,0.53,0.33,No
b0159,mtn,1592.5,2477.6,4262.01,4985.6,3.66,2.64,2.06,2.68,Yes,3,1,No,[F] Nucleotide transport and metabolism,Cytoplasmic,699,0.52,185,0.49,884,0.52,0.53,No
b0160,dgt,666.35,968.77,1142.01,1785.05,4.71,3.41,3.43,3.78,No,1,NA,No,[F] Nucleotide transport and metabolism,Cytoplasmic,1518,0.48,39,0.62,1557,0.48,0.33,No
b0161,degP,2347.19,2757,2976.07,3344.13,3.61,3.03,2.62,3.29,No,1,NA,No,"[O] Posttranslational modification, protein turnover, chaperones",Periplasmic,1425,0.54,40,0.35,1465,0.53,0.59,No
b0163,yaeH,189.93,161.79,199.33,165.7,11.7,10.7,13.93,12.91,No,1,NA,No,NA,Cytoplasmic,387,0.44,98,0.48,485,0.45,0.46,No
b0164,yaeI,255.61,365.36,615.11,999.88,8.6,5.66,4.45,3.36,No,1,NA,No,[R] General function prediction only,Unknown,813,0.51,114,0.54,927,0.52,0.33,No
b0166,dapD,5489.61,9760.87,15859.61,21178.83,2.16,1.72,1.51,2.18,Yes,3,3,Yes,[E] Amino acid transport and metabolism,Cytoplasmic,825,0.53,29,0.28,854,0.52,0.57,No
b0167,glnD,1547.64,1520.13,3040.29,2893.51,3.14,2.74,2.42,2.02,Yes,3,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,2673,0.54,133,0.49,2806,0.54,0.36,No
b0168,map,2724.96,4195.98,7074.38,13770.64,2.67,1.94,1.51,1.34,Yes,3,1,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,795,0.5,47,0.38,842,0.5,0.53,No
b0169,rpsB,20834.39,29127.93,54901.01,65773.8,3.45,3.59,3.78,2.84,Yes,3,NA,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,726,0.51,233,0.48,959,0.5,0.81,No
b0170,tsf,8318.69,13441.15,25659.11,31326.93,2.83,2.6,3,2.29,Yes,3,NA,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,852,0.5,653,0.51,1505,0.5,0.79,No
b0171,pyrH,2371.11,4629.08,10794.73,16192.41,3.01,2.14,1.75,3.65,No,1,NA,Yes,[F] Nucleotide transport and metabolism,Cytoplasmic,726,0.53,43,0.33,769,0.52,0.56,No
b0172,frr,5326.01,8320.17,11726.27,14388.49,2.34,1.86,1.57,2.06,No,1,NA,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,558,0.51,255,0.49,813,0.5,0.62,No
b0173,dxr,1126.12,1649.15,2966.21,4359.66,3.68,2.46,1.98,1.83,No,1,NA,Yes,[I] Lipid transport and metabolism,Cytoplasmic,1197,0.53,458,0.5,1655,0.52,0.38,No
b0174,ispU,5183.2,5109.6,8197.52,10684.68,2.2,1.78,1.53,1.42,No,1,NA,Yes,[I] Lipid transport and metabolism,Cytoplasmic,762,0.5,119,0.4,881,0.49,0.29,No
b0175,cdsA,4007.54,4186.95,7552.58,11098.35,2.39,1.93,1.6,1.44,No,1,NA,Yes,[I] Lipid transport and metabolism,Integral Membrane Protein,858,0.51,313,0.49,1171,0.5,0.3,No
